TimeStamp,HANDSHAKE,HANDSHAKE
20623881.307692,0.251236,0.289658
20634295.440171,0.651528,0.74491
20644709.572650,0.478513,0.209577
20655123.705128,0.419098,0.825872
20665537.837607,0.660286,0.124511
20675951.970085,0.311834,0.916464
20686366.102564,0.753692,0.0450591
20696780.235043,0.270222,1
20707194.367521,0.822991,0.0294719
20717608.500000,0.297817,0.931442
20728022.632479,0,0.108131
20738436.764957,0,0.842977
20748850.897436,1,0.20461
20759265.029915,0.0551597,0.755511
20769679.162393,0.914952,0.280076
20780093.294872,0.120657,0.683142
20790507.427350,0.843385,0.351992
20800921.559829,0.1959,0.616437
20811335.692308,1,0
20821749.824786,1,0
20832163.957265,0.634914,0.588803
20842578.089744,0.352652,0.396468
20852992.222222,0.590381,0.623845
20863406.354701,0.470125,0.326308
20873820.487179,0.493963,0.709078
20884234.619658,0,1
20894648.752137,0,1
20905062.884615,0.629008,0.126671
20915477.017094,0.357246,0.910791
20925891.149573,0.635847,0.0616784
20936305.282051,0.232753,1
20946719.414530,0.839445,0.037365
20957133.547009,0.118428,0.928115
20967547.679487,0.836719,0.116993
20977961.811966,0.0435523,0.836299
20988375.944444,0.888864,0.201197
20998790.076923,0.0307321,0.761936
21009204.209402,1,0.304513
21019618.341880,0.0306263,0.650176
21030032.474359,0.908478,0.390352
21040446.606838,0.10986,0.56464
21050860.739316,0.845208,0.484009
21061274.871795,0.199519,0.48008
21071689.004274,0.677313,0.554583
21082103.136752,0.271411,0.407844
21092517.269231,0.697748,0.637206
21102931.401709,0.392375,0.323866
21113345.534188,0.6662,0.709378
21123759.666667,0.447244,0.256367
21134173.799145,0.555454,0.784793
21144587.931624,0.543307,0.159112
21155002.064103,0.371237,0.886336
21165416.196581,0.5711,0.0781645
21175830.329060,0.308464,0.954619
21186244.461538,0.636569,0.055633
21196658.594017,0.266907,0.963301
21207072.726496,0,1
21217486.858974,0,0.890993
21227900.991453,0.877554,0.155453
21238315.123932,0.0879118,0.802181
21248729.256410,0.842049,0.240139
21259143.388889,0.0710663,0.727298
21269557.521368,0.973457,0.317765
21279971.653846,0.141944,0.6588
21290385.786325,0.935865,0.372479
21300799.918803,0.215431,0.591839
21311214.051282,0.759049,0.443554
21321628.183761,0.289904,0.518463
21332042.316239,0.660349,0.525215
21342456.448718,0.383083,0.424117
21352870.581197,0.615924,0.621823
21363284.713675,0.401885,0.344955
21373698.846154,0.651103,0.697165
21384112.978632,0.0568215,0.259672
21394527.111111,0.652153,0
21404941.243590,1,0
21415355.376068,0.332461,0.865105
21425769.508547,0.699646,0.092551
21436183.641026,0.249807,0.933377
21446597.773504,0.643763,0.0185693
21457011.905983,0.259074,0.98897
21467426.038462,0.840295,0.0373217
21477840.170940,0.0284646,0.923175
21488254.303419,0.919115,0.118864
21498668.435897,0.0336545,1
21509082.568376,0,1
21519496.700855,0,0.718075
21529910.833333,0.928431,0.313802
21540324.965812,0.0571192,0.653347
21550739.098291,0.880429,0.389796
21561153.230769,0.185243,0.563702
21571567.363248,0.988307,0.489666
21581981.495726,1,0.466464
21592395.628205,0.660995,0.570923
21602809.760684,0.29099,0.357176
21613223.893162,0.676538,0.701157
21623638.025641,0.398614,0.255466
21634052.158120,0.636248,0.786895
21644466.290598,0.38903,0.165664
21654880.423077,0.486029,0.86603
21665294.555556,0.46131,0.0965933
21675708.688034,1,0.945514
21686122.820513,1,0.0178306
21696536.952991,0.296747,0.967486
21706951.085470,0.734025,0.0209504
21717365.217949,0.303493,0.93573
21727779.350427,0.358094,0.10524
21738193.482906,0.883609,0.850333
21748607.615385,1,0.192844
21759021.747863,0.0389483,0.767535
21769435.880342,0.978438,0.273615
21779850.012821,0.10202,0.69425
21790264.145299,0.947226,0.343483
21800678.277778,0,0.619838
21811092.410256,0.785917,0.414553
21821506.542735,0.199223,0.547363
21831920.675214,0.865087,0.495805
21842334.807692,0.330648,0.452362
21852748.940171,0.644521,0.588025
21863163.072650,0.32704,0.374369
21873577.205128,1,0.649971
21883991.337607,1,0.308235
21894405.470085,0.495283,0.742369
21904819.602564,0.575128,0.17751
21915233.735043,0.323066,0.878462
21925647.867521,0.604867,0.0959384
21936062.000000,0.297184,0.953329
21946476.132479,0.804217,0
21956890.264957,0.149104,0.958546
21967304.397436,0.826965,0.0895266
21977718.529915,0.0832944,0.877588
21988132.662393,0.741302,0.167723
21998546.794872,1,0.807694
22008960.927350,1,0.196747
22019375.059829,0.0405532,0.758632
22029789.192308,0.926085,0.271615
22040203.324786,0.119247,0.688003
22050617.457265,0.860805,0.356599
22061031.589744,0.0457605,0.605133
22071445.722222,0.752747,0.436581
22081859.854701,0.280823,0.524556
22092273.987179,1,0
22102688.119658,1,0
22113102.252137,0.590757,0.602715
22123516.384615,0.453227,0.35411
22133930.517094,0.501495,0.691104
22144344.649573,0.537728,0.26285
22154758.782051,0.424626,0.764471
22165172.914530,0.579992,0.179593
22175587.047009,0.382875,0.859387
22186001.179487,0.689019,0.109455
22196415.311966,0.269196,0.92851
22206829.444444,0,1
22217243.576923,0,0.9246
22227657.709402,0.888496,0.105546
22238071.841880,0.0488657,0.850422
22248485.974359,0.988453,0.183622
22258900.106838,0.146448,0.771412
22269314.239316,0.935963,0.271538
22279728.371795,0.0701387,0.691965
22290142.504274,0.950115,0.344022
22300556.636752,0.14414,0.637266
22310970.769231,0.940632,0.373844
22321384.901709,0.118077,0.576956
22331799.034188,0.860742,0.461318
22342213.166667,0.303191,0.501369
22352627.299145,0.660128,0.543369
22363041.431624,0.372446,0.414398
22373455.564103,0.568444,0.625521
22383869.696581,0.469682,0.337196
22394283.829060,0.491294,0.702166
22404697.961538,0,1
22415112.094017,0,1
22425526.226496,0.511088,0.139442
22435940.358974,1,0.917703
22446354.491453,1,0.0417548
22456768.623932,0.243182,1
22467182.756410,0.675262,0.10703
22477596.888889,1,0.917152
22488011.021368,1,0.121403
22498425.153846,1,0.839725
22508839.286325,1,0.24032
22519253.418803,0,0.709555
22529667.551282,0.859754,0.335306
22540081.683761,0.0579425,0.620882
22550495.816239,0.889625,0.418017
22560909.948718,0.153932,0.53588
22571324.081197,0.786817,0.504999
22581738.213675,1,0.455024
22592152.346154,0.725196,0.566613
22602566.478632,0.321679,0.444316
22612980.611111,0.610185,0.578575
22623394.743590,0.351355,0.377847
22633808.876068,0.729823,0.66317
22644223.008547,0.424845,0.287069
22654637.141026,0.45904,0.755051
22665051.273504,0.585177,0.21686
22675465.405983,0.363067,0.823924
22685879.538462,0.652594,0.130917
22696293.670940,0.287224,0.907609
22706707.803419,0,1
22717121.935897,0,0.956868
22727536.068376,0.850344,0.0390883
22737950.200855,0.11139,0.912606
22748364.333333,0.846338,0.128328
22758778.465812,0.122792,0.830841
22769192.598291,0.8392,0.212058
22779606.730769,0.103808,0.76005
22790020.863248,0.967801,0
22800434.995726,1,0
22810849.128205,0.945953,0.389095
22821263.260684,0.210321,0.576323
22831677.393162,0.868453,0.455532
22842091.525641,0.32181,0.500858
22852505.658120,0.637864,0.546529
