stamp,x,y,z,qx,qy,qz,qw,vx,vy,vz
253.779000,0.001467,0.001881,0.004621,0.000410,0.000242,-0.002262,0.999997,0.000000,0.000000,0.000000
254.516000,0.000919,0.002134,0.005767,0.000248,0.000299,-0.002333,0.999997,0.000000,0.000000,0.000000
254.643000,0.001059,0.001624,0.005599,0.000047,0.000259,-0.002312,0.999997,0.000000,0.000000,0.000000
254.849000,0.001025,0.001538,0.005552,0.000047,0.000296,-0.002273,0.999997,0.000000,0.000000,0.000000
255.042000,0.001047,0.001719,0.005833,0.000069,0.000263,-0.002209,0.999997,0.000000,0.000000,0.000000
255.164000,0.000903,0.001460,0.005656,0.000028,0.000307,-0.002310,0.999997,0.000000,0.000000,0.000000
256.262000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
257.453000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
257.569000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
257.752000,0.000169,-0.000880,0.000309,-0.000327,0.000017,0.000068,1.000000,0.000000,0.000000,0.000000
257.951000,-0.000045,-0.000151,-0.000088,-0.000066,-0.000046,-0.000139,1.000000,0.000000,0.000000,0.000000
258.459000,0.000112,-0.000060,0.000140,-0.000057,-0.000068,0.000032,1.000000,0.000000,0.000000,0.000000
258.799000,0.000640,-0.001114,0.000354,-0.000538,-0.000338,-0.000474,1.000000,0.000000,0.000000,0.000000
258.961000,0.000077,-0.000115,0.000104,-0.000084,-0.000087,-0.000060,1.000000,0.000000,0.000000,0.000000
259.058000,0.000020,-0.000121,-0.000046,-0.000025,-0.000083,-0.000064,1.000000,0.000000,0.000000,0.000000
259.358000,0.000066,-0.000021,-0.000103,0.000001,-0.000079,0.000110,1.000000,0.000000,0.000000,0.000000
259.460000,-0.000162,-0.000159,-0.000030,-0.000050,-0.000009,-0.000024,1.000000,0.000000,0.000000,0.000000
259.598000,0.000004,-0.000111,-0.000062,-0.000068,-0.000035,-0.000103,1.000000,0.000000,0.000000,0.000000
259.682000,0.000106,-0.000299,-0.000212,-0.000096,-0.000072,-0.000006,1.000000,0.000000,0.000000,0.000000
260.180000,-0.000076,0.000066,-0.000083,0.000032,-0.000059,-0.000148,1.000000,0.000000,0.000000,0.000000
260.274000,-0.000006,0.000117,-0.000277,0.000083,-0.000065,-0.000099,1.000000,0.000000,0.000000,0.000000
260.879000,0.000134,0.000132,-0.000232,0.000105,-0.000114,0.000055,1.000000,0.000000,0.000000,0.000000
260.993000,-0.000245,0.000133,0.000198,0.000004,-0.000098,-0.000141,1.000000,0.000000,0.000000,0.000000
261.157000,0.000355,0.001387,0.000091,0.000442,-0.000124,0.000102,1.000000,0.000000,0.000000,0.000000
261.277000,-0.000153,0.000297,-0.003845,-0.000254,-0.000030,-0.003165,0.999995,0.000000,0.000000,0.000000
261.392000,-0.000143,0.000134,-0.004211,-0.000247,-0.000016,-0.003142,0.999995,0.000000,0.000000,0.000000
